word,phonetic,pos,meaning,example_en,example_zh,tags,difficulty
abandon,ə'bændən,v./n.,"放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵；放任, 无拘束, 狂热",,,六级,1
abbreviation,ə.bri:vi'eiʃən,n.,"缩写词, 缩写, 缩短, 节略",,,六级,2
abide,ə'baid,v.,"停留, 遵守, 居留, 继续下去；忍受, 经受, 屈从于",,,六级,2
abnormal,æb'nɒ:məl,adj./n.,"反常的, 不规则的, 变态的, 畸形的；畸形的人",,,六级,2
abolish,ə'bɒliʃ,v.,"废止, 革除, 消灭；废除, 取消, 裁撤",,,六级,1
abrupt,ə'brʌpt,adj.,"突然的, 唐突的, 陡峭的, 不连贯的",,,六级,2
absence,'æbsəns,n.,"缺席, 缺乏, 没有；失神",,,六级,1
absent,'æbsənt,adj./v.,"缺席的, 不在的, 缺乏的, 漫不经心的；使缺席",,,六级,1
absolute,'æbsəlu:t,adj./n.,"绝对的, 专制的, 完全的, 独立的；绝对事物",,,六级,1
absorb,əb'sɒ:b,v.,"吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担；吸收",,,六级,1
absorption,əb'sɒ:pʃən,n.,"吸收, 专心, 全神贯注；吸收; 吸收作用",,,六级,2
abstract,'æbstrækt,adj./n./v.,"抽象的, 深奥的；摘要, 抽象概念；摘要, 提炼, 使抽象化；摘录; 摘要; 抽象",,,六级,1
absurd,əb'sə:d,adj./n.,"荒谬的, 不合理的, 可笑的；荒诞",,,六级,2
abundance,ə'bʌndəns,n.,"丰富, 充足, 大量；丰富, 充裕",,,六级,2
abuse,ə'bju:s.ə'bju:z,n./v.,"滥用, 虐待, 恶习, 辱骂；滥用, 辱骂, 虐待",,,六级,1
academic,.ækə'demik,adj./n.,"学院的, 学术的, 不切实际的；大学生, 大学教师, 学者, 学会会员",,,六级,1
academy,ə'kædəmi,n.,"学院, 院校, 学会",,,六级,1
accelerate,ək'seləreit,v.,"加速, 促进",,,六级,2
acceptance,ək'septəns,n.,"接受, 接纳, 承认, 同意, 赞同, 容忍, 相信；承兑, 认付, (工程)验收",,,六级,1
access,'ækses,n./v.,"通路, 入口, 接近, 进入, 使用权, 发作；访问, 存取, 接近, 使用；访问, 存取",,,六级,1
accessary,ək'sesəri,adj./n.,"附属的, 附带的, 从犯的；附件, 同谋, 从犯",,,六级,3
accessible,ək'sesəbl,adj.,"易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",,,六级,1
accessory,ək'sesəri,n./adj.,"附件, 零件, 附加物, 从犯, 同谋；附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的；附件",,,六级,2
accidental,.æksi'dentl,adj./n.,"意外的, 偶然的, 非主要的, 附属的；临时记号, 次要方面",,,六级,2
accommodate,ə'kɒmədeit,v.,"使适应, 调和, 通融, 容纳, 向...提供；适应",,,六级,1
accommodation,ə.kɒmə'deiʃən,n.,"膳宿, 预订铺位, 适应性调节, 调和, 贷款；调节(眼); 适应",,,六级,1
accompany,ə'kʌmpəni,v.,"陪伴, 伴随, 补充, 为...伴奏；伴奏, 伴唱",,,六级,1
accomplishment,ə'kʌmpliʃmənt,n.,"成就, 完成",,,六级,2
accord,ə'kɒ:d,n./v.,"一致, 调和, 协定；给与, 使一致；相符合",,,六级,1
accordance,ə'kɒ:dəns,n.,"一致, 和谐",,,六级,2
accordingly,ə'kɒ:diŋli,adv.,"相应地, 因此, 于是",,,六级,1
accumulate,ə'kju:mjuleit,v.,"积聚, 堆积",,,六级,1
accuracy,'ækjurəsi,n.,"精确, 正确；准确度",,,六级,1
accurate,'ækjurət,adj.,"正确的, 精确的；准确的, 精确的",,,六级,1
accuse,ə'kju:z,v.,"指责, 控告, 归咎于；指责, 控告",,,六级,1
accustom,ə'kʌstəm,v.,使习惯于,,,六级,2
accustomed,ə'kʌstəmd,adj.,"惯常的, 习惯了的",,,六级,2
achieve,ə'tʃi:v,v.,"完成, 达到；如愿以偿",,,六级,1
achievement,ə'tʃi:vmənt,n.,"完成, 成就, 功业",,,六级,1
acid,'æsid,n./adj.,"酸, 酸类物质, 尖刻, 迷幻药；酸的, 酸性的, 尖刻的, 敏锐的；自动文档互参与索引生成程序",,,六级,1
acknowledge,ək'nɒlidʒ,v.,"承认, 告知收悉, 答谢, 报偿；承认, 答谢, 收到的通知",,,六级,1
acquaint,ə'kweint,v.,"使认识, 介绍",,,六级,2
acquaintance,ə'kweintəns,n.,"认识, 相识者",,,六级,2
acquire,ə'kwaiə,v.,"获得, 学到；目标锁定",,,六级,1
acquisition,.ækwi'ziʃən,n.,"获得, 获得物；收购, 招揽, 取得",,,六级,1
acquisitive,ə'kwizitiv,adj.,"渴望获得的, 贪婪的；取得的, 获得的, 贪得无厌的",,,六级,2
action,'ækʃən,n./v.,"行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；对...起诉；方式",,,六级,1
actually,'æktʃuəli,adv.,"事实上, 竟然, 如今, 现在",,,六级,1
acute,ə'kju:t,adj.,"尖锐的, 敏锐的, 激烈的, 严重的, 急性的；急性的; 尖锐的",,,六级,1
adapt,ə'dæpt,v.,"使适应, 改编；适应",,,六级,1
addict,ə'dikt,v./n.,"使沉溺, 使上瘾；入迷的人, 上瘾者",,,六级,2
addition,ə'diʃən,n.,"加法, 增加的人(或物)；加法",,,六级,1
additional,ə'diʃənəl,adj.,"附加的, 另外的, 额外的；加添的, 附加的",,,六级,1
address,ə'dres,n./v.,"住址, 演说, 举止, 灵巧, 求爱；发表(演说或讲话), 对付, 写地址；地址, 寻址",,,六级,1
adequate,'ædikwət,adj.,"适当的, 足够的；胜任的, 适当的, 充分的",,,六级,1
adhere,əd'hiə,v.,"依附, 粘着, 坚持, 追随, 拥护；使粘附",,,六级,2
adjacent,ə'dʒeisənt,adj.,"毗连的, 邻近的, 连接的；相邻的, 邻位的, 交界的",,,六级,2
adjoin,ə'dʒɒin,v.,"邻接, 毗连",,,六级,2
adjust,ə'dʒʌst,v.,"调整, 使适应于, 校准；适应于, 被调节, 相互熟悉而适应",,,六级,1
adjustable,ə'dʒʌstəbl,adj.,可调节的；可调整的,,,六级,2
administration,əd.mini'streiʃən,n.,"行政, 管理, 政府机关；给药",,,六级,1
admiration,.ædmə'reiʃən,n.,"赞赏, 钦佩, 引人赞赏的对象",,,六级,2
admission,əd'miʃən,n.,"准许进入, 入场费, 录用, 承认；加入, 入股",,,六级,1
adolescent,.ædəu'lesənt,adj./n.,"青春期的, 青少年的；青少年",,,六级,2
adopt,ə'dɒpt,v.,"采用, 正式通过, 收养, 接受；采取",,,六级,1
adoption,ə'dɒpʃən,n.,"采用, 采纳, 收养；收养, 采纳, 采用",,,六级,1
adore,ə'dɒ:,v.,"崇拜, 爱慕, 喜爱；崇拜, 爱慕",,,六级,2
advance,əd'vɑ:ns,n./v./adj.,"前进, 进展, 行过的路程；前进, 进展, 提高, 上涨；使前进, 促进, 提出, 提高, 使提前, 预付；前面的, 预先的",,,六级,1
advantageous,.ædvən'teidʒəs,adj.,"有利的, 有益的",,,六级,2
adverse,'ædvə:s,adj.,"不利的, 敌对的, 相反的, 逆的；相反的, 敌对的, 逆的",,,六级,2
advertise,'ædvətaiz,v.,"做广告, 通知, 公布；做广告",,,六级,1
advice,əd'vais,n.,"忠告, 劝告, 意见, 报道, 通知；通知书, 通知, 建议",,,六级,1
advisable,əd'vaizəbl,adj.,"适当的, 明智的",,,六级,2
advise,əd'vaiz,v.,"劝告, 给...出主意, 通知, 建议；提意见, 商量",,,六级,1
advocate,'ædvəkeit,n./v.,"提倡者, 拥护者；主张, 提倡",,,六级,1
aerial,'єəriəl,adj./n.,"空中的, 航空的, 空气的, 空想的；天线",,,六级,2
aeroplane,'єərəplein,n.,飞机；飞机,,,六级,2
aerospace,'єərəuspeis,n.,"航天空间, 航天技术",,,六级,2
aesthetic,i:s'θetik,adj.,"美学的, 审美的, 有美感的",,,六级,2
affair,ə'fєə,n.,"事件, 事务, 恋爱事件",,,六级,1
affect,ə'fekt,v./n.,"影响, 感动, 假装, 模仿, 爱好, 倾向于；自觉感情",,,六级,1
affection,ə'fekʃən,n.,"影响, 病, 喜爱, 情感, 倾向；疾患, 病变, 病; 感情",,,六级,1
affective,ə'fektiv,adj.,"情感的, 表达感情的；感情的, 情感的",,,六级,2
affiliate,ə'filieit,v.,"使紧密联系, 使附属, 接纳, 收养；发生联系, 参加",,,六级,2
affirm,ə'fə:m,v.,"断言, 确认",,,六级,2
afflict,ə'flikt,v.,"使苦恼, 折磨",,,六级,2
affluence,'æfluəns,n.,"富裕, 丰富, 流注；丰富, 流入",,,六级,2
afford,ə'fɒ:d,v.,"买得起, 足以, 给予",,,六级,1
afterward,'ɑ:ftəwəd,adv.,"然后, 后来",,,六级,2
aggravate,'ægrəveit,v.,"使恶化, 使更严重, 加重",,,六级,2
aggression,ə'greʃən,n.,"侵犯, 侵略；攻击",,,六级,1
aggressive,ə'gresiv,adj.,"侵略的, 挑畔的, 进取的；侵略的, 爱挑衅的, 行为过火的",,,六级,1
agitation,.ædʒi'teiʃən,n.,"激动, 焦虑, 煽动, 搅动, 摇动；搅拌; 搅拌作用",,,六级,2
agony,'ægəni,n.,"极大的痛苦, 挣扎；濒死苦闷; 剧痛",,,六级,2
agreeable,ə'griəbl,adj.,"令人愉快的, 同意的；佳适的",,,六级,2
agriculture,'ægrikʌltʃə,n.,"农业；农业, 农学",,,六级,1
