word,phonetic,pos,meaning,example_en,example_zh,tags,difficulty
abandon,ə'bændən,v./n.,"放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵；放任, 无拘束, 狂热",,,四级,1
ability,ə'biliti,n.,"能力, 才干；能力, 才能",,,四级,1
abnormal,æb'nɒ:məl,adj./n.,"反常的, 不规则的, 变态的, 畸形的；畸形的人",,,四级,2
aboard,ə'bɒ:d,adv./prep.,"在船上, 在火车上, 在飞机上；在...之上",,,四级,2
absence,'æbsəns,n.,"缺席, 缺乏, 没有；失神",,,四级,1
absent,'æbsənt,adj./v.,"缺席的, 不在的, 缺乏的, 漫不经心的；使缺席",,,四级,1
absolute,'æbsəlu:t,adj./n.,"绝对的, 专制的, 完全的, 独立的；绝对事物",,,四级,1
absolutely,'æbsəlu:tli,adv.,"完全地, 绝对地, 确确实实地",,,四级,1
absorb,əb'sɒ:b,v.,"吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担；吸收",,,四级,1
abstract,'æbstrækt,adj./n./v.,"抽象的, 深奥的；摘要, 抽象概念；摘要, 提炼, 使抽象化；摘录; 摘要; 抽象",,,四级,1
abundant,ə'bʌndənt,adj.,"丰富的, 充分的, 大量的",,,四级,2
abuse,ə'bju:s.ə'bju:z,n./v.,"滥用, 虐待, 恶习, 辱骂；滥用, 辱骂, 虐待",,,四级,1
academic,.ækə'demik,adj./n.,"学院的, 学术的, 不切实际的；大学生, 大学教师, 学者, 学会会员",,,四级,1
academy,ə'kædəmi,n.,"学院, 院校, 学会",,,四级,1
accelerate,ək'seləreit,v.,"加速, 促进",,,四级,2
acceleration,ək.selə'reiʃən,n.,"加速, 促进, 加速度；加速度",,,四级,2
accent,'æksənt,n./v.,"重音, 口音, 特点, 注重点；重读, 加重音号于, 强调",,,四级,1
accept,ək'sept,v.,"接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍；同意",,,四级,1
acceptable,ək'septəbl,adj.,"可接受的, 合意的, 可忍受的",,,四级,1
acceptance,ək'septəns,n.,"接受, 接纳, 承认, 同意, 赞同, 容忍, 相信；承兑, 认付, (工程)验收",,,四级,1
access,'ækses,n./v.,"通路, 入口, 接近, 进入, 使用权, 发作；访问, 存取, 接近, 使用；访问, 存取",,,四级,1
accessory,ək'sesəri,n./adj.,"附件, 零件, 附加物, 从犯, 同谋；附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的；附件",,,四级,2
accident,'æksidənt,n.,"意外事件, 机遇, 事故, 次要方面；意外事故; 事故",,,四级,1
accidental,.æksi'dentl,adj./n.,"意外的, 偶然的, 非主要的, 附属的；临时记号, 次要方面",,,四级,2
accommodate,ə'kɒmədeit,v.,"使适应, 调和, 通融, 容纳, 向...提供；适应",,,四级,1
accommodation,ə.kɒmə'deiʃən,n.,"膳宿, 预订铺位, 适应性调节, 调和, 贷款；调节(眼); 适应",,,四级,1
accompany,ə'kʌmpəni,v.,"陪伴, 伴随, 补充, 为...伴奏；伴奏, 伴唱",,,四级,1
accomplish,ə'kʌmpliʃ,v.,"完成, 达到, 实现, 使完美",,,四级,2
accord,ə'kɒ:d,n./v.,"一致, 调和, 协定；给与, 使一致；相符合",,,四级,1
accordance,ə'kɒ:dəns,n.,"一致, 和谐",,,四级,2
accordingly,ə'kɒ:diŋli,adv.,"相应地, 因此, 于是",,,四级,1
account,ə'kaunt,n./v.,"报告, 解释, 估价, 理由, 利润, 算账, 帐目；报帐, 解释, 导致, 报偿, 占, 杀死；认为；帐户, 帐号",,,四级,1
accumulate,ə'kju:mjuleit,v.,"积聚, 堆积",,,四级,1
accuracy,'ækjurəsi,n.,"精确, 正确；准确度",,,四级,1
accurate,'ækjurət,adj.,"正确的, 精确的；准确的, 精确的",,,四级,1
accuse,ə'kju:z,v.,"指责, 控告, 归咎于；指责, 控告",,,四级,1
accustom,ə'kʌstəm,v.,使习惯于,,,四级,2
accustomed,ə'kʌstəmd,adj.,"惯常的, 习惯了的",,,四级,2
ache,eik,n./v.,"疼痛；痛, 哀怜, 渴望",,,四级,2
achieve,ə'tʃi:v,v.,"完成, 达到；如愿以偿",,,四级,1
achievement,ə'tʃi:vmənt,n.,"完成, 成就, 功业",,,四级,1
acid,'æsid,n./adj.,"酸, 酸类物质, 尖刻, 迷幻药；酸的, 酸性的, 尖刻的, 敏锐的；自动文档互参与索引生成程序",,,四级,1
acknowledge,ək'nɒlidʒ,v.,"承认, 告知收悉, 答谢, 报偿；承认, 答谢, 收到的通知",,,四级,1
acquaintance,ə'kweintəns,n.,"认识, 相识者",,,四级,2
acquire,ə'kwaiə,v.,"获得, 学到；目标锁定",,,四级,1
acquisition,.ækwi'ziʃən,n.,"获得, 获得物；收购, 招揽, 取得",,,四级,1
acre,'eikə,n.,英亩,,,四级,1
act,ækt,n./v.,"行动, 行为, 幕, 法案；行动, 表演, 假装, 见效, 表现, 担当；扮演, 装作；先进通信技术, 先进计算机工艺, 自动代码翻译技术",,,四级,1
action,'ækʃən,n./v.,"行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；对...起诉；方式",,,四级,1
active,'æktiv,adj./n.,"活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的；主动语态, 积极分子",,,四级,1
activity,æk'tiviti,n.,"活动, 行动, 活跃, 活力；活动",,,四级,1
actor,'æktə,n.,"男演员, 行动者；作用物, 反应物",,,四级,1
actress,'æktris,n.,女演员,,,四级,1
actual,'æktʃuəl,adj.,"真实的, 实际的, 现行的；实际死亡率",,,四级,1
actually,'æktʃuəli,adv.,"事实上, 竟然, 如今, 现在",,,四级,1
acute,ə'kju:t,adj.,"尖锐的, 敏锐的, 激烈的, 严重的, 急性的；急性的; 尖锐的",,,四级,1
ad,æd,n.,"广告；地址, 模拟-数字",,,四级,1
adapt,ə'dæpt,v.,"使适应, 改编；适应",,,四级,1
add,æd,v.,"增加, 添加, 附带说明, 计算...总和；做加法, 积累而成, 增添；加法",,,四级,1
addition,ə'diʃən,n.,"加法, 增加的人(或物)；加法",,,四级,1
additional,ə'diʃənəl,adj.,"附加的, 另外的, 额外的；加添的, 附加的",,,四级,1
address,ə'dres,n./v.,"住址, 演说, 举止, 灵巧, 求爱；发表(演说或讲话), 对付, 写地址；地址, 寻址",,,四级,1
adequate,'ædikwət,adj.,"适当的, 足够的；胜任的, 适当的, 充分的",,,四级,1
adhere,əd'hiə,v.,"依附, 粘着, 坚持, 追随, 拥护；使粘附",,,四级,2
adjective,'ædʒiktiv,n./adj.,"形容词；形容词的, 从属的",,,四级,2
adjust,ə'dʒʌst,v.,"调整, 使适应于, 校准；适应于, 被调节, 相互熟悉而适应",,,四级,1
administration,əd.mini'streiʃən,n.,"行政, 管理, 政府机关；给药",,,四级,1
admire,əd'maiə,v.,"赞美, 钦佩, 爱慕；称赞, 惊奇",,,四级,1
admission,əd'miʃən,n.,"准许进入, 入场费, 录用, 承认；加入, 入股",,,四级,1
admit,əd'mit,v.,"承认, 接受, 允许进入, 容许；开向, 容许, 承认",,,四级,1
adopt,ə'dɒpt,v.,"采用, 正式通过, 收养, 接受；采取",,,四级,1
adult,'ædʌlt,n./adj.,"成人, 成虫；成年的, 成熟的",,,四级,1
advance,əd'vɑ:ns,n./v./adj.,"前进, 进展, 行过的路程；前进, 进展, 提高, 上涨；使前进, 促进, 提出, 提高, 使提前, 预付；前面的, 预先的",,,四级,1
